Market,Ticker,Name,Close,Total Score,Market(30),Sector(30),Stock(50),Ichi(15),EMA Trend,EMA Stack,Entry Signal,Candle Trig,RSI,ATR,Entry Zone,SL (1.5 ATR),TP1 (2R),TP2 (3R)
COMMODITY,XOM,ExxonMobil,173.82,95,0,30,50,15,YES,FULL,YES,no,78.5,4.57,173.82,166.98,187.52,194.37
COMMODITY,CVX,Chevron,213.15,95,0,30,50,15,YES,FULL,YES,no,82.3,4.34,213.15,206.64,226.15,232.66
COMMODITY,COP,ConocoPhillips,134.21,95,0,30,50,15,YES,FULL,YES,no,81.8,3.08,134.21,129.58,143.45,148.07
COMMODITY,EOG,EOG Resources,151.04,95,0,30,50,15,YES,FULL,YES,no,86.3,3.48,151.04,145.82,161.48,166.7
COMMODITY,DVN,Devon Energy,52.22,95,0,30,50,15,YES,FULL,YES,no,81.4,1.33,52.22,50.23,56.2,58.19
COMMODITY,OXY,Occidental,66.61,95,0,30,50,15,YES,FULL,YES,no,83.5,1.95,66.61,63.68,72.46,75.39
COMMODITY,CTRA,Coterra Energy,36.48,95,0,30,50,15,YES,FULL,YES,no,80.9,0.93,36.48,35.09,39.26,40.65
COMMODITY,PSX,Phillips 66,188.31,95,0,30,50,15,YES,FULL,YES,no,75.7,5.72,188.31,179.73,205.47,214.05
OSLO,AKRBP.OL,Aker BP,362.4,95,0,30,50,15,YES,FULL,YES,no,69.2,12.42,362.4,343.78,399.65,418.27
SP500,CVX,Chevron,213.15,95,0,30,50,15,YES,FULL,YES,no,82.3,4.34,213.15,206.64,226.15,232.66
OSLO,EQNR.OL,Equinor,420.2,95,0,30,50,15,YES,FULL,YES,no,80.2,16.11,420.2,396.04,468.52,492.68
OSLO,VAR.OL,Var Energi,50.46,95,0,30,50,15,YES,FULL,YES,no,74.3,2.13,50.46,47.27,56.85,60.04
SP500,XOM,ExxonMobil,173.82,95,0,30,50,15,YES,FULL,YES,no,78.5,4.57,173.82,166.98,187.52,194.37
COMMODITY,XLE,Energy Select ETF,62.82,95,0,30,50,15,YES,FULL,YES,no,84.0,1.23,62.82,60.97,66.51,68.36
OSLO,NHY.OL,Norsk Hydro,101.45,90,0,30,50,10,YES,FULL,YES,no,68.3,4.06,101.45,95.36,113.63,119.73
COMMODITY,MPC,Marathon Petroleum,249.76,85,0,30,40,15,YES,FULL,no,no,72.9,8.35,249.76,237.24,274.79,287.31
COMMODITY,EQT,EQT Corp,65.26,85,0,30,40,15,YES,FULL,no,no,58.8,2.23,65.26,61.92,71.94,75.28
COMMODITY,FANG,Diamondback,201.05,85,0,30,40,15,YES,FULL,no,no,75.4,5.52,201.05,192.77,217.61,225.89
COMMODITY,VLO,Valero,252.09,85,0,30,40,15,YES,FULL,no,no,69.3,9.16,252.09,238.34,279.58,293.32
COMMODITY,APA,APA Corp,44.26,85,0,30,40,15,YES,FULL,no,no,88.5,1.72,44.26,41.69,49.41,51.98
OSLO,TGS.OL,TGS NOPEC,132.5,80,0,15,50,15,YES,FULL,YES,no,79.4,3.95,132.5,126.57,144.35,150.28
OSLO,YAR.OL,Yara,559.8,80,0,15,50,15,YES,FULL,YES,no,65.2,18.92,559.8,531.42,616.57,644.95
OSLO,SUBC.OL,Subsea 7,292.0,80,0,15,50,15,YES,FULL,YES,no,74.5,9.23,292.0,278.16,319.68,333.52
SP500,SO,Southern Company,97.46,75,0,15,50,10,YES,FULL,YES,no,59.7,1.67,97.46,94.95,102.47,104.98
OSLO,AKSO.OL,Aker Solutions,45.7,70,0,15,40,15,YES,FULL,no,no,71.3,1.3,45.7,43.75,49.6,51.55
OSLO,AKER.OL,Aker ASA,1074.0,70,0,15,40,15,YES,FULL,no,no,61.5,31.6,1074.0,1026.61,1168.79,1216.18
STOCKHOLM,ERIC-B.ST,Ericsson,107.25,70,0,15,40,15,YES,FULL,no,no,55.1,3.13,107.25,102.55,116.65,121.36
SP500,NFLX,Netflix,93.94,70,0,15,42,13,YES,no,YES,no,56.2,2.71,93.94,89.87,102.08,106.15
OSLO,HAUTO.OL,Hoegh Autoliners,135.3,70,0,15,40,15,YES,FULL,no,no,59.3,5.43,135.3,127.15,151.6,159.75
STOCKHOLM,TELIA.ST,Telia,47.96,70,0,15,40,15,YES,FULL,no,no,64.8,0.83,47.96,46.71,50.46,51.71
SP500,MO,Altria,66.98,67,0,15,42,10,no,no,no,no,60.8,1.32,66.98,65.0,70.95,72.93
SP500,COST,Costco,1004.69,67,0,15,42,10,no,no,no,no,58.4,16.64,1004.69,979.73,1054.6,1079.56
OSLO,HAFNI.OL,Hafnia,73.38,65,0,15,40,10,YES,FULL,no,no,62.1,3.0,73.38,68.88,82.38,86.88
SP500,LIN,Linde,502.58,65,0,15,40,10,YES,FULL,no,no,60.9,10.91,502.58,486.22,535.3,551.67
OSLO,FRO.OL,Frontline,332.7,65,0,15,40,10,YES,FULL,no,no,56.2,16.68,332.7,307.68,382.73,407.75
STOCKHOLM,TEL2-B.ST,Tele2,192.9,65,0,15,40,10,YES,FULL,YES,no,60.0,3.61,192.9,187.48,203.74,209.16
SP500,KO,Coca-Cola,76.86,64,0,15,42,7,no,no,no,no,52.8,1.26,76.86,74.97,80.63,82.52
SP500,WMT,Walmart,124.44,62,0,15,42,5,no,no,no,no,52.6,2.6,124.44,120.54,132.24,136.15
SP500,PEP,PepsiCo,157.54,59,0,15,42,2,no,no,no,no,52.5,3.35,157.54,152.52,167.58,172.6
OSLO,TEL.OL,Telenor,168.1,56,0,15,34,7,no,no,no,no,48.4,3.18,168.1,163.33,177.65,182.42
SP500,PFE,Pfizer,27.45,55,0,0,40,15,YES,FULL,YES,no,55.4,0.62,27.45,26.52,29.33,30.26
OSLO,NOD.OL,Nordic Semi,148.6,55,0,0,40,15,YES,FULL,no,no,51.5,6.9,148.6,138.25,169.3,179.65
SP500,JNJ,Johnson & Johnson,242.3,52,0,0,42,10,no,no,no,no,57.3,4.04,242.3,236.24,254.42,260.49
STOCKHOLM,LUND-B.ST,Lundin Mining,526.5,50,0,30,18,2,no,no,no,no,45.0,11.61,526.5,509.09,561.32,578.73
COMMODITY,GLD,SPDR Gold Trust,415.84,50,0,30,18,2,no,no,no,no,39.0,13.04,415.84,396.28,454.96,474.52
COMMODITY,GDXJ,VanEck Junior Gold ETF,112.15,50,0,30,18,2,no,no,no,no,39.7,6.56,112.15,102.31,131.82,141.66
COMMODITY,RGLD,Royal Gold,240.35,50,0,30,18,2,no,no,no,no,42.7,11.05,240.35,223.77,273.5,290.08
COMMODITY,PAAS,Pan American Silver,51.87,50,0,30,18,2,no,no,no,no,42.8,3.14,51.87,47.16,61.3,66.01
COMMODITY,WPM,Wheaton Precious,125.57,50,0,30,18,2,no,no,no,no,41.3,6.5,125.57,115.82,145.07,154.82
COMMODITY,FNV,Franco-Nevada,237.27,50,0,30,18,2,no,no,no,no,44.5,10.05,237.27,222.2,267.42,282.49
COMMODITY,NEM,Newmont,104.12,50,0,30,18,2,no,no,no,no,42.6,4.9,104.12,96.77,118.81,126.16
COMMODITY,CDE,Coeur Mining,17.38,50,0,30,18,2,no,no,no,no,36.2,1.36,17.38,15.34,21.47,23.51
COMMODITY,EQX,Equinox Gold,13.02,50,0,30,18,2,no,no,no,no,40.3,0.88,13.02,11.69,15.66,16.98
COMMODITY,KGC,Kinross Gold,28.83,50,0,30,18,2,no,no,no,no,41.2,1.54,28.83,26.53,33.44,35.75
COMMODITY,SIL,Global X Silver Miners,84.47,50,0,30,18,2,no,no,no,no,38.7,4.84,84.47,77.21,98.99,106.26
COMMODITY,GDX,VanEck Gold Miners ETF,86.88,50,0,30,18,2,no,no,no,no,41.0,4.44,86.88,80.22,100.21,106.87
