Market,Ticker,Name,Close,Total Score,Market(30),Sector(30),Stock(50),Ichi(15),EMA Trend,EMA Stack,Entry Signal,Candle Trig,RSI,ATR,Entry Zone,SL (1.5 ATR),TP1 (2R),TP2 (3R)
COMMODITY,XOM,ExxonMobil,173.82,95,0,30,50,15,YES,FULL,YES,no,78.5,4.57,173.82,166.98,187.52,194.37
COMMODITY,CVX,Chevron,213.4,95,0,30,50,15,YES,FULL,YES,no,82.4,4.34,213.4,206.9,226.41,232.91
COMMODITY,COP,ConocoPhillips,134.09,95,0,30,50,15,YES,FULL,YES,no,81.7,3.08,134.09,129.46,143.33,147.95
COMMODITY,EOG,EOG Resources,150.82,95,0,30,50,15,YES,FULL,YES,no,86.2,3.48,150.82,145.6,161.26,166.48
COMMODITY,DVN,Devon Energy,52.33,95,0,30,50,15,YES,FULL,YES,no,81.6,1.33,52.33,50.35,56.31,58.3
COMMODITY,OXY,Occidental,66.73,95,0,30,50,15,YES,FULL,YES,no,83.6,1.95,66.73,63.8,72.58,75.51
COMMODITY,CTRA,Coterra Energy,36.52,95,0,30,50,15,YES,FULL,YES,no,81.0,0.93,36.52,35.13,39.3,40.69
COMMODITY,XLE,Energy Select ETF,62.83,95,0,30,50,15,YES,FULL,YES,no,84.0,1.23,62.83,60.99,66.53,68.38
OSLO,AKRBP.OL,Aker BP,362.4,95,0,30,50,15,YES,FULL,YES,no,69.2,12.42,362.4,343.78,399.65,418.27
SP500,CVX,Chevron,213.44,95,0,30,50,15,YES,FULL,YES,no,82.4,4.34,213.44,206.94,226.45,232.95
OSLO,EQNR.OL,Equinor,420.2,95,0,30,50,15,YES,FULL,YES,no,80.2,16.11,420.2,396.04,468.52,492.68
OSLO,VAR.OL,Var Energi,50.46,95,0,30,50,15,YES,FULL,YES,no,74.3,2.13,50.46,47.27,56.85,60.04
SP500,XOM,ExxonMobil,173.79,95,0,30,50,15,YES,FULL,YES,no,78.4,4.57,173.79,166.94,187.49,194.34
COMMODITY,VLO,Valero,252.56,85,0,30,40,15,YES,FULL,no,no,69.8,9.16,252.56,238.81,280.05,293.8
COMMODITY,MPC,Marathon Petroleum,250.27,85,0,30,40,15,YES,FULL,no,no,73.6,8.35,250.27,237.75,275.31,287.83
COMMODITY,FANG,Diamondback,201.27,85,0,30,40,15,YES,FULL,no,no,75.8,5.52,201.27,192.99,217.83,226.11
COMMODITY,EQT,EQT Corp,65.21,85,0,30,40,15,YES,FULL,no,no,58.6,2.24,65.21,61.85,71.92,75.28
COMMODITY,APA,APA Corp,44.37,85,0,30,40,15,YES,FULL,no,no,89.3,1.72,44.37,41.8,49.52,52.09
