Market,Ticker,Name,Close,Total Score,Market(30),Sector(30),Stock(50),Ichi(15),EMA Trend,EMA Stack,Entry Signal,Candle Trig,RSI,ATR,Entry Zone,SL (1.5 ATR),TP1 (2R),TP2 (3R)
COMMODITY,XOM,ExxonMobil,174.52,95,0,30,50,15,YES,FULL,YES,no,78.9,4.57,174.52,167.67,188.22,195.07
COMMODITY,CVX,Chevron,213.75,95,0,30,50,15,YES,FULL,YES,no,82.6,4.34,213.75,207.25,226.76,233.26
COMMODITY,COP,ConocoPhillips,134.36,95,0,30,50,15,YES,FULL,YES,no,81.9,3.08,134.36,129.74,143.6,148.23
COMMODITY,EOG,EOG Resources,151.16,95,0,30,50,15,YES,FULL,YES,no,86.4,3.48,151.16,145.94,161.6,166.82
COMMODITY,DVN,Devon Energy,52.46,95,0,30,50,15,YES,FULL,YES,no,81.9,1.33,52.46,50.47,56.43,58.42
COMMODITY,OXY,Occidental,66.89,95,0,30,50,15,YES,FULL,YES,no,83.8,1.95,66.89,63.96,72.74,75.67
COMMODITY,CTRA,Coterra Energy,36.61,95,0,30,50,15,YES,FULL,YES,no,81.3,0.93,36.61,35.22,39.39,40.78
COMMODITY,APA,APA Corp,44.45,95,0,30,50,15,YES,FULL,YES,no,89.5,1.72,44.45,41.88,49.6,52.17
OSLO,AKRBP.OL,Aker BP,362.4,95,0,30,50,15,YES,FULL,YES,no,69.2,12.42,362.4,343.78,399.65,418.27
SP500,CVX,Chevron,213.8,95,0,30,50,15,YES,FULL,YES,no,82.7,4.34,213.8,207.29,226.81,233.31
OSLO,EQNR.OL,Equinor,420.2,95,0,30,50,15,YES,FULL,YES,no,80.2,16.11,420.2,396.04,468.52,492.68
OSLO,VAR.OL,Var Energi,50.46,95,0,30,50,15,YES,FULL,YES,no,74.3,2.13,50.46,47.27,56.85,60.04
SP500,XOM,ExxonMobil,174.51,95,0,30,50,15,YES,FULL,YES,no,78.9,4.57,174.51,167.66,188.21,195.06
COMMODITY,XLE,Energy Select ETF,63.0,95,0,30,50,15,YES,FULL,YES,no,84.3,1.23,63.0,61.15,66.69,68.54
OSLO,NHY.OL,Norsk Hydro,101.45,90,0,30,50,10,YES,FULL,YES,no,68.3,4.06,101.45,95.36,113.63,119.73
COMMODITY,MPC,Marathon Petroleum,251.11,85,0,30,40,15,YES,FULL,no,no,74.8,8.35,251.11,238.59,276.15,288.67
COMMODITY,EQT,EQT Corp,65.43,85,0,30,40,15,YES,FULL,no,no,59.6,2.24,65.43,62.07,72.14,75.5
COMMODITY,FANG,Diamondback,201.82,85,0,30,40,15,YES,FULL,no,no,77.1,5.52,201.82,193.54,218.38,226.66
COMMODITY,PSX,Phillips 66,188.19,85,0,30,40,15,YES,FULL,no,no,75.5,5.72,188.19,179.61,205.35,213.93
COMMODITY,VLO,Valero,253.7,85,0,30,40,15,YES,FULL,no,no,71.0,9.16,253.7,239.95,281.19,294.93
OSLO,TGS.OL,TGS NOPEC,132.5,80,0,15,50,15,YES,FULL,YES,no,79.4,3.95,132.5,126.57,144.35,150.28
OSLO,YAR.OL,Yara,559.8,80,0,15,50,15,YES,FULL,YES,no,65.2,18.92,559.8,531.42,616.57,644.95
STOCKHOLM,TELIA.ST,Telia,47.96,80,0,15,50,15,YES,FULL,YES,no,64.8,0.83,47.96,46.71,50.46,51.71
OSLO,SUBC.OL,Subsea 7,292.0,80,0,15,50,15,YES,FULL,YES,no,74.5,9.23,292.0,278.16,319.68,333.52
SP500,SO,Southern Company,97.36,75,0,15,50,10,YES,FULL,YES,no,59.3,1.67,97.36,94.86,102.37,104.88
OSLO,AKSO.OL,Aker Solutions,45.7,70,0,15,40,15,YES,FULL,no,no,71.3,1.3,45.7,43.75,49.6,51.55
STOCKHOLM,ERIC-B.ST,Ericsson,107.0,70,0,15,40,15,YES,FULL,no,no,54.5,3.13,107.0,102.3,116.4,121.11
OSLO,AKER.OL,Aker ASA,1074.0,70,0,15,40,15,YES,FULL,no,no,61.5,31.6,1074.0,1026.61,1168.79,1216.18
OSLO,HAUTO.OL,Hoegh Autoliners,135.3,70,0,15,40,15,YES,FULL,no,no,59.3,5.43,135.3,127.15,151.6,159.75
SP500,NFLX,Netflix,94.18,70,0,15,42,13,YES,no,YES,no,56.8,2.71,94.18,90.12,102.32,106.39
SP500,MO,Altria,67.02,67,0,15,42,10,no,no,no,no,61.0,1.32,67.02,65.04,70.99,72.97
SP500,COST,Costco,1003.94,67,0,15,42,10,no,no,no,no,58.1,16.64,1003.94,978.98,1053.85,1078.81
OSLO,HAFNI.OL,Hafnia,73.38,65,0,15,40,10,YES,FULL,no,no,62.1,3.0,73.38,68.88,82.38,86.88
SP500,LIN,Linde,502.3,65,0,15,40,10,YES,FULL,no,no,60.8,10.91,502.3,485.94,535.02,551.39
OSLO,FRO.OL,Frontline,332.7,65,0,15,40,10,YES,FULL,no,no,56.2,16.68,332.7,307.68,382.73,407.75
STOCKHOLM,TEL2-B.ST,Tele2,192.6,65,0,15,40,10,YES,FULL,YES,no,59.6,3.61,192.6,187.18,203.44,208.86
SP500,KO,Coca-Cola,76.79,64,0,15,42,7,no,no,no,no,52.4,1.26,76.79,74.9,80.56,82.45
SP500,WMT,Walmart,124.44,62,0,15,42,5,no,no,no,no,52.6,2.6,124.44,120.54,132.24,136.15
SP500,PEP,PepsiCo,157.61,59,0,15,42,2,no,no,no,no,52.6,3.35,157.61,152.59,167.65,172.67
OSLO,TEL.OL,Telenor,168.1,56,0,15,34,7,no,no,no,no,48.4,3.18,168.1,163.33,177.65,182.42
SP500,PFE,Pfizer,27.47,55,0,0,40,15,YES,FULL,YES,no,55.5,0.62,27.47,26.53,29.34,30.27
OSLO,NOD.OL,Nordic Semi,148.6,55,0,0,40,15,YES,FULL,no,no,51.5,6.9,148.6,138.25,169.3,179.65
SP500,JNJ,Johnson & Johnson,242.05,52,0,0,42,10,no,no,no,no,56.9,4.04,242.05,235.99,254.18,260.24
STOCKHOLM,LUND-B.ST,Lundin Mining,524.0,50,0,30,18,2,no,no,no,no,43.4,11.61,524.0,506.59,558.82,576.23
COMMODITY,GLD,SPDR Gold Trust,417.45,50,0,30,18,2,no,no,no,no,39.8,13.04,417.45,397.89,456.57,476.13
COMMODITY,GDXJ,VanEck Junior Gold ETF,112.6,50,0,30,18,2,no,no,no,no,40.2,6.56,112.6,102.76,132.27,142.11
COMMODITY,RGLD,Royal Gold,241.0,50,0,30,18,2,no,no,no,no,43.1,11.05,241.0,224.42,274.15,290.73
COMMODITY,PAAS,Pan American Silver,52.1,50,0,30,18,2,no,no,no,no,43.4,3.14,52.1,47.38,61.52,66.24
COMMODITY,WPM,Wheaton Precious,126.14,50,0,30,18,2,no,no,no,no,41.9,6.5,126.14,116.39,145.64,155.39
